question,expected_answer,generated_answer,confidence,reliable,response_time,sources,source_list,similarity_score,category,question_type,status
What is the primary purpose of ZX Bank's ATM presence at major railway stations and airports in India?,The primary purpose of ZX Bank's ATM presence at major railway stations and airports in India is to provide 24x7 ATM access for customers' convenience.,ZX Bank Ltd. provides 24x7 ATM access at the busiest travel hubs across India for your convenience. [1][2][3][4][5],0.5,True,30.5940682888031,5,"[{'index': 1, 'document': 'ATMs at Railway Stations and Airports.pptx', 'section': 'Slide 1', 'page': 1, 'chunk_id': '93b6bc9a9878cb95'}, {'index': 2, 'document': 'ATMs at Railway Stations and Airports.docx', 'section': 'ZX Bank ATM Locations at Major Railway Stations and Airports', 'page': None, 'chunk_id': '047a50e0037a9caf'}, {'index': 3, 'document': 'ATMs at Railway Stations and Airports.md', 'section': 'ZX Bank ATM Locations at Major Railway Stations and Airports', 'page': None, 'chunk_id': 'b612ca9ba1d93b78'}]",0.375,banking,definition,success
"What is the address of the Kempegowda Majestic Bus Station A TM located in Bangalore, Karnataka?","Majestic, Near KSRTC Bus Stand, Bangalore, 560009","Address: Majestic, Near KSRTC Bus Stand, Bangalore, 560009 [1][5]",0.5,True,36.2440710067749,5,"[{'index': 1, 'document': 'ZX Bank ATMs at Major Bus Stands (India).html', 'section': 'ZX Bank ATMs at Major\nBus Stands (India) > Bangalore (Bengaluru) –\nKarnataka', 'page': None, 'chunk_id': '4bd61d4b33df3cac'}, {'index': 2, 'document': 'ZX Bank ATMs at Major Bus Stands (India).pdf', 'section': '', 'page': 2, 'chunk_id': '2dc3a1e04b6ed04c'}, {'index': 3, 'document': 'ZX Bank ATMs at Major Bus Stands (India).pptx', 'section': 'Slide 4', 'page': 4, 'chunk_id': '7ba7037d638c1074'}]",1.0,banking,factual,success
"A customer from the North Surat branch calls the bank's customer service to inquire about the status of their loan application, which was submitted two weeks ago. The customer is informed that the loan has been approved, but they are asked to visit the branch to finalize the paperwork and receive their loan amount. However, when the customer arrives at the branch, they discover that it is closed for renovation and will reopen in three days' time.","The customer should contact the bank's customer service department via phone or email to inquire about an alternative date and time to visit the branch, or request to have the paperwork sent to their home address for signature. Alternatively, they could also consider visiting a nearby branch that offers similar services.",I could not find reliable information in the available documentation.,0.0,False,16.94288992881775,0,[],0.046511627906976744,banking,scenario,success
How does the geographical distribution of ZX Bank's branches in Surat compare to the overall growth pattern of the city?,"The branch network of ZX Bank is strategically located across North, South, East, West, and Central regions of Surat, mirroring the city's urban sprawl and development. This suggests that the bank has a comprehensive presence in all areas of Surat, catering to diverse customer needs as the city grows.",I could not find reliable information in the available documentation.,0.0,False,42.69114637374878,0,[],0.04878048780487805,banking,comparative,success
"What steps would you take to verify the IFSC code for a specific branch in North Ahmedabad, such as 21, Naranpura Main Road, Naranpura, and what information would you need to access this detail?","To verify the IFSC code for a specific branch in North Ahmedabad, you would follow these steps:",I could not find reliable information in the available documentation.,0.0,False,42.54836630821228,0,[],0.11764705882352941,banking,process,success
What is the primary method for requesting a new cheque book through ZX Bank?,The primary method for requesting a new cheque book through ZX Bank is via their mobile app.,I could not find reliable information in the available documentation.,0.0,False,21.838790893554688,0,[],0.058823529411764705,banking,definition,success
What is the typical processing time for most cross-border transfers through ZX Bank's payment rails?,Most transfers are processed within minutes.,Instant Transfers: Most transfers are processed within minutes using ZX Bank’s advanced payment rails and SWIFT capabilities. [1][2],0.5,True,25.040355682373047,5,"[{'index': 1, 'document': 'Cross-Border Payments.html', 'section': 'Fast Cross-Border\nPayments with ZX Bank > Key Features', 'page': None, 'chunk_id': '9356aca28fe1375c'}, {'index': 2, 'document': 'Cross-Border Payments.docx', 'section': 'Fast Cross-Border Payments with ZX Bank > Key Features', 'page': None, 'chunk_id': '6441b3288baa9d33'}, {'index': 3, 'document': 'Cross-Border Payments.pptx', 'section': 'Slide 1', 'page': 1, 'chunk_id': '28425faa283fd290'}]",0.8333333333333334,banking,factual,success
"What are the key features or services offered by ZX Bank's branch network in Nepal, as described in the document?","The key features or services offered by ZX Bank's branch network in Nepal include digital onboarding, remittance corridors, and personalized service.","ZX Bank's branch network in Nepal offers a strategic focus on digital onboarding, remittance corridors, and personalized service. [1][2][3]",0.5,True,26.91784143447876,5,"[{'index': 1, 'document': 'Branch Network in Nepal.pptx', 'section': 'Slide 1', 'page': 1, 'chunk_id': 'fa4ab1211d865436'}, {'index': 2, 'document': 'Branch Network in Nepal.md', 'section': 'ZX Bank Branch Network in Nepal', 'page': None, 'chunk_id': '284cefeeae4175f0'}, {'index': 3, 'document': 'Branch Network in Nepal.html', 'section': 'ZX Bank Branch Network in\nNepal', 'page': None, 'chunk_id': '4dc470f259b63082'}]",0.6190476190476191,banking,listing,success
How do the terms and conditions of using CloudWay 24's co-brand credit card for booking flights directly with CloudWay 24 compare to those of other travel credit cards?,"The terms and conditions of using CloudWay 24's co-brand credit card, as stated in the document, differ from those of other travel credit cards in that they require the use of a specific co-brand card for bookings made through CloudWay 24 to maximize SkyPoints. This is not a standard feature found in all travel credit cards.",I could not find reliable information in the available documentation.,0.0,False,17.10915493965149,0,[],0.06818181818181818,loans,comparative,success
"You've just applied for the CloudWay 24 Co-brand Credit Card and received your welcome email. As you're planning a trip to Europe, you book a flight with an airline that's not part of the co-brand credit card network. How many SkyPoints will you earn on this booking?","According to the document, you'll earn 2% back in SkyPoints on all other spends. Since the flight is booked with an airline not part of the co-brand credit card network, you can apply the 2% earning rate.",I could not find reliable information in the available documentation.,0.0,False,22.978262662887573,0,[],0.09090909090909091,loans,scenario,success
