question,rouge_l,faithful,nli_score,citation_accuracy,source_recall,mrr,total_time,is_correct
"A pilot is scheduled for a layover in a city 3,000 miles away from their home base. The company has arranged for them to stay at a 4-star hotel that is not centrally located but rather near the airport. However, upon arrival, the pilot discovers that they have been allocated a single room instead of a double room as per the standard policy. What should the pilot do?",0.25,True,1.0,1.0,0.5,1.0,57.83561062812805,False
"What is the primary difference between upgrading from CloudSaver (Economy) to CloudComfort (Premium Economy), and then again from CloudComfort to CloudElite (Business Class)?",0.2921348314606742,True,1.0,1.0,0.3333333333333333,1.0,46.9456946849823,False
"You have recently experienced a delay in your flight due to bad weather, and you're planning to file a complaint using the CloudWay 24 mobile app. However, when you open the app, you realize that you can't find the ""Support > Feedback & Complaints"" option anywhere. What should you do next?",0.2037037037037037,True,1.0,1.0,0.2,1.0,59.80329370498657,False
"What is the correct procedure for accessing CloudLux Lounge if I am traveling in First Class, and what are the specific amenities available to me as a result of this access?",0.5714285714285715,True,1.0,1.0,0.16666666666666666,1.0,72.39675378799438,True
What is the difference in visa requirements for Indian tourists traveling to Malaysia compared to those traveling to Indonesia?,0.27999999999999997,True,1.0,1.0,0.6666666666666666,0.5,65.59044814109802,False
What is the primary method for requesting a new cheque book through ZX Bank?,0.7999999999999999,True,1.0,1.0,1.0,0.3333333333333333,25.100992918014526,True
"How does CloudWay 24's mobile app handle the difference between round-trip and one-way flights when booking a flight, and what specific options are available for each trip type?",0.3274853801169591,True,1.0,1.0,0.125,1.0,63.42618155479431,True
What is an Unaccompanied Minor?,0.40740740740740744,True,1.0,1.0,0.16666666666666666,0.25,22.28738760948181,True
"How would CloudWay 24 ensure compliance with the Right to Care & Assistance, specifically in cases where a passenger's flight is delayed by more than 2 hours and they are entitled to compensation?",0.23728813559322035,True,1.0,1.0,0.5,1.0,42.29944396018982,False
What is the primary characteristic that sets the Airbus A350 apart from other long-haul aircraft in terms of its operational efficiency?,0.27272727272727276,True,1.0,1.0,0.5,1.0,32.82111358642578,False
"How does CloudWay 24 ensure the health and safety of pets during international flights, considering that not all pets are eligible for travel?",0.410958904109589,True,1.0,1.0,0.6,1.0,59.777827739715576,True
"What is the maximum number of musical instruments allowed as checked baggage in Economy Class, according to CloudWay 24's Special Baggage Policy?",0.12820512820512822,True,1.0,1.0,0.5714285714285714,1.0,37.18069767951965,False
"What is the typical seating capacity for First Class on an Airbus A380, and how many seats can be configured in all-economy layout?",0.33333333333333337,True,1.0,1.0,0.16666666666666666,0.5,41.835479736328125,True
"How does the cab policy determine eligibility for home pick-up and drop-off services, and what are the specific criteria for crew members residing within a 25 km radius of the hub airport?",0.6782608695652174,True,1.0,1.0,0.75,1.0,38.524685859680176,True
What is the typical processing time for most cross-border transfers through ZX Bank's payment rails?,0.28571428571428575,True,1.0,1.0,0.75,1.0,24.315406799316406,False
What amenities and services are available for young flyers (CloudSaver and above) to ensure their comfort during the flight?,0.3243243243243243,True,1.0,1.0,0.3333333333333333,1.0,36.4185836315155,True
"What is the specific date range for which airline restrictions on special baggage apply due to local laws, and how can I pre-arrange my special baggage?",0.3132530120481928,True,1.0,1.0,0.6666666666666666,1.0,37.05877757072449,True
"What steps would you take to verify the IFSC code for a specific branch in North Ahmedabad, such as 21, Naranpura Main Road, Naranpura, and what information would you need to access this detail?",0.1818181818181818,True,1.0,1.0,0.5,1.0,81.32542705535889,False
"What is the recommended sequence of cabin upgrades with CloudWay 24, assuming a passenger starts in Economy (CloudSaver) and wants to experience the highest level of service?",0.2571428571428571,True,1.0,1.0,0.14285714285714285,1.0,61.14942955970764,False
"What is the minimum passport validity required for travel to Schengen (Europe) countries, compared to other international destinations?",0.4102564102564103,True,1.0,1.0,0.25,1.0,28.45286226272583,True
"How do the addresses of the Indian Institute of T echnology (IIT) at Patna and the Indian Institute of Management Lucknow (IIML) differ, and what are the contact numbers for these institutions?",0.5208333333333334,True,1.0,1.0,0.0,0.0,53.33527636528015,True
"What are the differences in contact numbers between the Pune and Nepal branches, and how might these differences impact customer service experiences in each region?",0.07407407407407407,False,0.0,1.0,0.4,1.0,31.944979190826416,False
"What are the key differences in the product comparisons offered by ASK Zia on the website versus WhatsApp, and how does the A350's CloudLux cabin compare to the CloudComfort cabin in terms of seating configuration and features?",0.027777777777777776,False,0.0,1.0,0.0,0.0,36.4582896232605,False
"What are the key features of ZX Bank Bike Loan, and how does it cater to different customer segments such as women applicants and rural borrowers?",0.304635761589404,True,1.0,1.0,0.0,0.0,67.50257778167725,True
"How does the Personal Relationship Manager Assistant Program ensure compliance and keep customers informed, and what are the specific features that facilitate this?",0.05128205128205128,False,0.0,1.0,0.5,0.2,27.178171157836914,False
What are the IFSC codes and contact numbers for the branches located in West Visakhapatnam and East Visakhapatnam?,0.5945945945945946,True,1.0,1.0,0.0,0.0,51.27591347694397,True
"Which branches are located in 12-1-345, Maddilapalem Main Road, Maddilapalem and 5-72-1, Gajuwaka Junction, Opp. RTC Complex?",0.07272727272727272,False,0.0,1.0,0.4,0.3333333333333333,28.788514852523804,False
"What are the responsibilities and qualifications for the Aircraft Maintenance Engineer (AME) role at CloudWay 24, and how do these align with the company's commitment to ensuring safety and security procedures are executed as per global aviation standards?",0.037383177570093455,False,0.0,1.0,0.4,1.0,39.60585927963257,False
"How does the package and benefits offered to the Junior Manager – Administration role at CloudWay 24 compare to those offered to the Senior Manager – Administration role, and what are the responsibilities of each?",0.6373626373626374,True,1.0,1.0,0.25,0.25,67.09201836585999,True
"What are the IFSC codes and contact numbers for the branches located in Central, North, and South Ahmedabad, and how do these compare in terms of their geographical distribution?",0.21428571428571427,True,1.0,1.0,0.0,0.0,70.47522020339966,False
"What are the contact numbers for the ZX Bank branches located in Ahmedabad and Sri Lanka, and how do customers apply for a personal loan in both countries?",0.4571428571428572,True,1.0,1.0,0.0,0.0,73.743332862854,True
