question,rouge_l,faithful,nli_score,citation_accuracy,source_recall,mrr,total_time,is_correct
"A pilot is scheduled for a layover in a city 3,000 miles away from their home base. The company has arranged for them to stay at a 4-star hotel that is not centrally located but rather near the airport. However, upon arrival, the pilot discovers that they have been allocated a single room instead of a double room as per the standard policy. What should the pilot do?",0.22580645161290325,True,1.0,1.0,0.5,1.0,74.85847163200378,False
"What is the primary difference between upgrading from CloudSaver (Economy) to CloudComfort (Premium Economy), and then again from CloudComfort to CloudElite (Business Class)?",0.17721518987341772,True,1.0,1.0,0.3333333333333333,0.5,29.799108266830444,False
"You have recently experienced a delay in your flight due to bad weather, and you're planning to file a complaint using the CloudWay 24 mobile app. However, when you open the app, you realize that you can't find the ""Support > Feedback & Complaints"" option anywhere. What should you do next?",0.3283582089552239,True,1.0,1.0,0.2,1.0,42.205684185028076,True
"What is the correct procedure for accessing CloudLux Lounge if I am traveling in First Class, and what are the specific amenities available to me as a result of this access?",0.6538461538461539,True,1.0,1.0,0.5,1.0,32.85592293739319,True
What is the difference in visa requirements for Indian tourists traveling to Malaysia compared to those traveling to Indonesia?,0.037037037037037035,False,0.0,1.0,1.0,0.5,24.540739059448242,False
What is the primary method for requesting a new cheque book through ZX Bank?,0.6341463414634146,True,1.0,1.0,1.0,0.5,14.929445743560791,True
"How does CloudWay 24's mobile app handle the difference between round-trip and one-way flights when booking a flight, and what specific options are available for each trip type?",0.3448275862068965,True,1.0,1.0,0.0,0.0,16.79469895362854,True
What is an Unaccompanied Minor?,0.23728813559322032,True,1.0,1.0,0.3333333333333333,1.0,21.501309156417847,False
"How would CloudWay 24 ensure compliance with the Right to Care & Assistance, specifically in cases where a passenger's flight is delayed by more than 2 hours and they are entitled to compensation?",0.2325581395348837,True,1.0,1.0,0.75,1.0,42.859907388687134,False
What is the primary characteristic that sets the Airbus A350 apart from other long-haul aircraft in terms of its operational efficiency?,0.27272727272727276,True,1.0,1.0,0.5,0.5,23.8838210105896,False
"How does CloudWay 24 ensure the health and safety of pets during international flights, considering that not all pets are eligible for travel?",0.4578313253012048,True,1.0,1.0,0.6,1.0,21.687042951583862,True
